# AV Training Trials
# Session started: 2026-06-11T21:47:08.6096810-04:00
# Unity: 6000.2.8f1
# Device: Oculus Quest 2 / Android OS 14 / API-34 (UP1A.231005.007.A1/52175280031200150)
# Scene: AVTrainingSession1Pilot
timestamp_ms,session_index,block_index,trial_index,eccentricity_deg,hemifield,contrast_logcs,stimulus_onset_ms,audio_onset_ms,response_onset_ms,rt_ms,hit,av_delta_ms,trial_type,is_control_trial,counts_for_rehab_dose,horizontal_angle_deg,vertical_angle_deg
432199,1,1,166,-5.00,left,9.000,431755,431755,432199,444,1,0.00,rehab,0,1,-5.00,0.00
435739,1,1,167,-5.00,left,9.000,434226,434226,-1,-1,0,0.00,rehab,0,1,-5.00,0.00
437669,1,1,168,-5.00,left,8.850,437142,437142,437669,528,1,0.00,rehab,0,1,-5.00,0.00
439891,1,1,169,-5.00,left,8.850,439294,439294,439891,597,1,0.00,rehab,0,1,-5.00,0.00
442029,1,1,170,-5.00,left,9.000,441349,441349,442029,680,1,0.00,rehab,0,1,-5.00,0.00
445820,1,1,171,-5.00,left,9.000,444306,444306,-1,-1,0,0.00,rehab,0,1,-5.00,0.00
448666,1,1,172,-5.00,left,8.850,448069,448069,448666,597,1,0.00,rehab,0,1,-5.00,0.00
451651,1,1,173,-5.00,left,8.850,450943,450943,451651,708,1,0.00,rehab,0,1,-5.00,0.00
454039,1,1,174,-5.00,left,9.000,453081,453081,454039,958,1,0.00,rehab,0,1,-5.00,0.00
455955,1,1,175,-5.00,left,9.000,455275,455275,455955,680,1,0.00,rehab,0,1,-5.00,0.00
458413,1,1,176,8.00,right,9.150,457913,457913,458413,500,1,0.00,right_control,1,0,8.00,0.00
460482,1,1,177,-5.00,left,9.150,459774,459774,460482,708,1,0.00,rehab,0,1,-5.00,0.00
463245,1,1,178,-5.00,left,9.150,462467,462467,463245,778,1,0.00,rehab,0,1,-5.00,0.00
465397,1,1,179,-5.00,left,9.300,464814,464814,465397,583,1,0.00,rehab,0,1,-5.00,0.00
467507,1,1,180,-5.00,left,9.300,466605,466605,467507,902,1,0.00,rehab,0,1,-5.00,0.00
470034,1,1,181,-5.00,left,9.450,469493,469493,470034,542,1,0.00,rehab,0,1,-5.00,0.00
471895,1,1,182,8.00,right,9.450,471506,471506,471895,389,1,0.00,right_control,1,0,8.00,0.00
474880,1,1,183,-5.00,left,9.450,474283,474283,474880,597,1,0.00,rehab,0,1,-5.00,0.00
476810,1,1,184,-5.00,left,9.600,476296,476296,476810,514,1,0.00,rehab,0,1,-5.00,0.00
479754,1,1,185,-5.00,left,9.600,479184,479184,479754,569,1,0.00,rehab,0,1,-5.00,0.00
482642,1,1,186,8.00,right,9.750,482128,482128,482642,514,1,0.00,right_control,1,0,8.00,0.00
484780,1,1,187,-5.00,left,9.750,484377,484377,484780,403,1,0.00,rehab,0,1,-5.00,0.00
487584,1,1,188,-5.00,left,9.750,487126,487126,487584,458,1,0.00,rehab,0,1,-5.00,0.00
490500,1,1,189,-5.00,left,9.900,489945,489945,490500,555,1,0.00,rehab,0,1,-5.00,0.00
492736,1,1,190,-5.00,left,9.900,492139,492139,492736,597,1,0.00,rehab,0,1,-5.00,0.00
494624,1,1,191,-5.00,left,10.050,493999,493999,494624,625,1,0.00,rehab,0,1,-5.00,0.00
498109,1,1,192,-5.00,left,10.050,496596,496596,-1,-1,0,0.00,rehab,0,1,-5.00,0.00
500608,1,1,193,-5.00,left,9.900,500039,500039,500608,569,1,0.00,rehab,0,1,-5.00,0.00
502844,1,1,194,-5.00,left,9.900,502316,502316,502844,528,1,0.00,rehab,0,1,-5.00,0.00
505982,1,1,195,-5.00,left,10.050,505329,505329,505982,653,1,0.00,rehab,0,1,-5.00,0.00
508911,1,1,196,-5.00,left,10.050,508411,508411,508911,500,1,0.00,rehab,0,1,-5.00,0.00
510772,1,1,197,-5.00,left,10.200,510175,510175,510772,597,1,0.00,rehab,0,1,-5.00,0.00
512438,1,1,198,-5.00,left,10.200,511994,511994,512438,444,1,0.00,rehab,0,1,-5.00,0.00
514604,1,1,199,-5.00,left,10.350,514007,514007,514604,597,1,0.00,rehab,0,1,-5.00,0.00
516881,1,1,200,-5.00,left,10.350,516409,516409,516881,472,1,0.00,rehab,0,1,-5.00,0.00
519644,1,1,201,-5.00,left,10.500,518950,518950,519644,694,1,0.00,rehab,0,1,-5.00,0.00
522601,1,1,202,-5.00,left,10.500,521088,521088,-1,-1,0,0.00,rehab,0,1,-5.00,0.00
525767,1,1,203,-5.00,left,10.350,525017,525017,525767,750,1,0.00,rehab,0,1,-5.00,0.00
528363,1,1,204,-5.00,left,10.350,527822,527822,528363,542,1,0.00,rehab,0,1,-5.00,0.00
530460,1,1,205,-5.00,left,10.500,529932,529932,530460,528,1,0.00,rehab,0,1,-5.00,0.00
533404,1,1,206,-5.00,left,10.500,532765,532765,533404,639,1,0.00,rehab,0,1,-5.00,0.00
535597,1,1,207,-5.00,left,10.650,535042,535042,535597,555,1,0.00,rehab,0,1,-5.00,0.00
539360,1,1,208,-5.00,left,10.650,537847,537847,-1,-1,0,0.00,rehab,0,1,-5.00,0.00
541748,1,1,209,-5.00,left,10.500,541290,541290,541748,458,1,0.00,rehab,0,1,-5.00,0.00
543512,1,1,210,-5.00,left,10.500,543053,543053,543512,458,1,0.00,rehab,0,1,-5.00,0.00
545455,1,1,211,-5.00,left,10.650,545053,545053,545455,403,1,0.00,rehab,0,1,-5.00,0.00
548468,1,1,212,-5.00,left,10.650,547927,547927,548468,542,1,0.00,rehab,0,1,-5.00,0.00
551565,1,1,213,-5.00,left,10.800,550051,550051,-1,-1,0,0.00,rehab,0,1,-5.00,0.00
554522,1,1,214,-5.00,left,10.650,553981,553981,554522,542,1,0.00,rehab,0,1,-5.00,0.00
556563,1,1,215,-5.00,left,10.650,556091,556091,556563,472,1,0.00,rehab,0,1,-5.00,0.00
558396,1,1,216,8.00,right,10.800,557813,557813,558396,583,1,0.00,right_control,1,0,8.00,0.00
560437,1,1,217,-5.00,left,10.800,559965,559965,560437,472,1,0.00,rehab,0,1,-5.00,0.00
562894,1,1,218,-5.00,left,10.800,561992,561992,562894,902,1,0.00,rehab,0,1,-5.00,0.00
565199,1,1,219,-5.00,left,10.950,564574,564574,565199,625,1,0.00,rehab,0,1,-5.00,0.00
567796,1,1,220,-5.00,left,10.950,567310,567310,567796,486,1,0.00,rehab,0,1,-5.00,0.00
570337,1,1,221,-5.00,left,11.100,569642,569642,570337,694,1,0.00,rehab,0,1,-5.00,0.00
573225,1,1,222,-5.00,left,11.100,572711,572711,573225,514,1,0.00,rehab,0,1,-5.00,0.00
575960,1,1,223,-5.00,left,11.250,575391,575391,575960,569,1,0.00,rehab,0,1,-5.00,0.00
578820,1,1,224,-5.00,left,11.250,578265,578265,578820,555,1,0.00,rehab,0,1,-5.00,0.00
580806,1,1,225,-5.00,left,11.400,580208,580208,580806,597,1,0.00,rehab,0,1,-5.00,0.00
583652,1,1,226,-5.00,left,11.400,583055,583055,583652,597,1,0.00,rehab,0,1,-5.00,0.00
586526,1,1,227,-5.00,left,11.550,585832,585832,586526,694,1,0.00,rehab,0,1,-5.00,0.00
588747,1,1,228,-5.00,left,11.550,587956,587956,588747,791,1,0.00,rehab,0,1,-5.00,0.00
591483,1,1,229,-5.00,left,11.700,590858,590858,591483,625,1,0.00,rehab,0,1,-5.00,0.00
593454,1,1,230,-5.00,left,11.700,593024,593024,593454,430,1,0.00,rehab,0,1,-5.00,0.00
596162,1,1,231,-5.00,left,11.850,595593,595593,596162,569,1,0.00,rehab,0,1,-5.00,0.00
598967,1,1,232,8.00,right,11.850,598522,598522,598967,444,1,0.00,right_control,1,0,8.00,0.00
602327,1,1,233,-5.00,left,11.850,600813,600813,-1,-1,0,0.00,rehab,0,1,-5.00,0.00
605242,1,1,234,-5.00,left,11.700,604576,604576,605242,666,1,0.00,rehab,0,1,-5.00,0.00
607172,1,1,235,-5.00,left,11.700,606506,606506,607172,666,1,0.00,rehab,0,1,-5.00,0.00
609533,1,1,236,-5.00,left,11.850,609061,609061,609533,472,1,0.00,rehab,0,1,-5.00,0.00
